id,name,type,degree
fcc6c88e2bd1527cb4cf67f1,The Fourth In America,Technology,9
ed73b9eff3f5ff1eea6154b7,Xi Jinping,Person,7
7b219357277193c25d37d788,Railergy,Company,6
e6c3db5c28c9a15bfafd2e04,Apple,Company,5
b0f073fc691ac6ea5bfa2c41,Activision Blizzard,Company,5
8799d8067b0eb4a83af1e4e7,adidas,Company,5
4f5c599d80e3f459819f8d8f,AI,Technology,5
c7c95b849d2fd4f07ae49bfd,Byju's,Company,4
b823fb02e58a12bdc4c38934,NVIDIA,Company,4
24efe6cedc09a12ec8c3eff2,Synopsys,Company,4
1f2054ff9fad32685f6dda3b,Norwegian University of Life Sciences,Company,4
74bd8cb542da5b4c9e6e42ad,Dar Al-Handasah Consultants,Company,4
5b619ed690d75481907e2863,Airbnb,Company,4
951e9e63648848f3234045bf,China,Company,4
0aaadb2e8b0602d8011e1769,Airbnb Inc.,Company,4
